tweet count,id,tweet content,month,day,hour,source,friends,
0,1.31E+18,b'RT @ErinClouse: Update 9/21: Rolling 7-day average of new #covid cases by age group in #Utah.  The most recent surge in cases seems to have\xe2\x80\xa6',6,8,20,Twitter Web App,2288,
1,1.31E+18,"b""He didn't freeze. He tweeted, watched television, consulted with Sean Hannity, and went on schedule to his own golf courses, emoluments flowing. For that he needs to be remembered, and reminded relentlessly on the debate stage. \n\n#Covid https://t.co/C5MC4BeEPb""",9,8,21,Twitter Web App,3829,
2,1.31E+18,"b'\xe2\x81\xa6@SpeakerPelosi\xe2\x81\xa9 wants to imprech the \xe2\x81\xa6@POTUS\xe2\x81\xa9 for saving 2,000,000 lives from #Covid restoring the economy and upholding the constitution! \xf0\x9f\xa4\x94 I think Nancy\xe2\x80\x99s gone insane with the #TrumpDerangementSyndrome  https://t.co/2KgS9hGu9L'",5,26,20,Twitter for iPhone,589,
3,1.31E+18,"b'RT @GBHNews: ""My course has almost 30 people and a third have been placed in quarantine,"" one Boston College grad student says. Yet he hasn\xe2\x80\xa6'",4,17,21,Twitter for Android,1276,
4,1.31E+18,"b'RT @biobiobiobior: \xf0\x9f\x94\xb4 France, 21 Septembre: \xc2\xab\xc2\xa0La SEULE vague que la France a connu est celle du Printemps !\xc2\xa0\xc2\xbb (Pr Toussaint - Cnews) #CORONA\xe2\x80\xa6'",9,9,22,Twitter for iPhone,1040,
5,1.31E+18,b'RT @saribethrose: Wanna know why the @cdc changed the info about #Covid being airborne? The Trump Admin FAILED in their response. Not only\xe2\x80\xa6',7,20,0,Twitter for iPad,1672,
6,1.31E+18,b'RT @sorluciacaram: Estos son los efectos devastadores del #Covid \xf0\x9f\xa6\xa0 \xf0\x9f\x98\xb7 \nUna cola interminable de personas.\nGracias a los que nos ayud\xc3\xa1is a ay\xe2\x80\xa6',2,16,9,Twitter for Android,290,
7,1.31E+18,b'RT @GobiernoMorelos: Informaci\xc3\xb3n importante sobre la situaci\xc3\xb3n del COVID-19 en Morelos al d\xc3\xada lunes 21 de septiembre de 2020. \nGracias por\xe2\x80\xa6',10,1,15,Twitter for Android,142,
8,1.31E+18,b'RT @B52Malmet: The CDC yanking critical public health info about the aerosol spread of #covid means that the regime of cruelty is fine with\xe2\x80\xa6',4,25,18,Twitter for iPhone,1971,
9,1.31E+18,"b'RT @AlexBerenson: If you\xe2\x80\x99d like to know how the US has reach 200,000 reported #sarscov2 deaths, the Milwaukee coroner\xe2\x80\x99s office is a good pl\xe2\x80\xa6'",8,11,1,Twitter for iPhone,698,
10,1.31E+18,b'RT @AnnexGroup: Struggling with employee engagement? Can e-sports and VR save the day? Read more &gt; https://t.co/LJyCLOAsuH\n\n#covid #team #g\xe2\x80\xa6',4,30,20,RtBot4,0,
11,1.31E+18,b'#taxi #taxidriver #uber #travel #car #taxis #cab #taxista #taxiservice #cars #covid #photography #taksi #driver #t #airport #a #o #xi #bhfyp #newyork #pop #taxicab #peugeot #instagood #transporte #nyc #instagram #streetphotography #bhfyp https://t.co/otTBjlqrNW',6,5,6,Twitter Web App,684,
12,1.31E+18,"b'As U.S. COVID-19 deaths near 200,000, a nation grapples with grief. https://t.co/HPb2dHNkfI #COVID19 #coronavirus #Covid'",1,23,22,Twitter for iPhone,4555,
13,1.31E+18,b'RT @EdtechDemo: #edtech demo #WestMidlands #schools &amp; #colleges-\nBuilding Digital Capacity in Uncertain Times- \n23rd Sept @ 3.45pm\n\n#Covid\xe2\x80\xa6',9,16,16,Twitter for iPhone,289,
14,1.31E+18,"b'RT @StefSimanowitz: 4. #Palantir, run by right-wing billionaire Peter Thiel, won a $7.5m contract to build the #COVID digital platform for\xe2\x80\xa6'",12,25,10,Twitter for Android,4951,
15,1.31E+18,"b'RT @EricSevillamx: Hoy celebramos el #D\xc3\xadaInternacionalDeLaPaz. Ante la pandemia de #COVID-19, recordamos que ""Forjando la paz juntos"", logr\xe2\x80\xa6'",1,5,2,Twitter Web App,84,
